ID,business_name,Dine in,Serves food,Serves alcohol,Drinks only,Primarily food,Primarily drinks,Cocktails,beer ,Craft Beer,Draft Beer,Spirits,Wine menu ,Outdoor seating,Takeaway drinks,Heater,By river,LGBT+ Friendly,Family Friendly,Student friendly,Wheelchair accessible ,Rooftop,Good views,Atmospheric ,Cosy,Trendy,Hip,Quirky,Rustic,Casual,Smart,Lively,Fine Dining,Relaxed,Authentic,Snug,Industrial,Impressive,No Frills,Independent,Happy Hour Food,Happy Hour Drinks,Good for kids,Children's menu,Live Music,DJs,Pop-up Events,WiFi,Vegetrian Options,Vegan Options,Fireplace,Late-night Food,visits_count
57,Pepe's ,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,1,0
58,The Bootlegger,1,1,1,1,-1,1,1,1,1,1,1,1,1,0,0,-1,0,0,0,1,-1,-1,-1,1,-1,0,-1,-1,1,0,1,-1,-1,0,-1,-1,-1,-1,0,0,1,-1,-1,1,1,1,0,0,0,0,0,0
59,The Coconut Tree,1,1,1,-1,1,-1,1,1,0,0,1,1,-1,1,-1,-1,0,1,0,1,-1,-1,0,1,-1,-1,-1,-1,1,0,0,0,0,0,-1,0,0,-1,0,0,0,1,0,-1,-1,0,0,1,1,0,1,0
60,Shake Wrap & Roll,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,0,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,1,0,-1,0,0
61,La Guinguette,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,-1,-1,1,1,-1,0,-1,-1,1,0,0,-1,1,1,-1,-1,0,-1,1,0,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,0
62,Grecian Kebab House,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,0,-1,-1,0,0,-1,-1,-1,-1,1,0,-1,1,0
63,Future Leap Coffee Shop,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,0,-1,-1,-1,-1,1,0,0,1,0,-1,-1,-1,0,0,0,0,-1,0
64,Seitans Corner,1,1,1,-1,1,-1,0,1,1,0,1,1,1,1,0,-1,0,1,0,0,-1,-1,0,1,1,-1,-1,-1,1,0,-1,-1,0,0,0,-1,0,-1,0,0,0,1,-1,-1,-1,-1,0,1,1,0,0,0
65,La Campagnuola,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,0,0,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,0,1,0,0,1,0
66,Greens ,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,0,-1,0,1,0,0,-1,-1,0,-1,-1,-1,-1,-1,1,1,-1,1,1,0,-1,-1,0,-1,1,0,0,0,-1,-1,-1,-1,1,1,1,-1,-1,1
67,Casa Mexicana,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,0,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,0,-1,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,0,1,0,0,0,0
68,Hari Krishnan's Kitchen,1,1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,0,-1,0,1,0,0,-1,-1,0,-1,-1,-1,-1,-1,1,0,-1,-1,1,0,-1,-1,-1,-1,1,0,0,1,0,-1,-1,-1,0,1,0,0,1,0
